filename,hood,front_left_door,front_right_door,rear_left_door,rear_right_door
images\0.png,0,0,0,0,0
images\1.png,0,0,0,0,0
images\2.png,0,0,0,0,0
images\3.png,0,0,0,0,0
images\4.png,0,0,0,0,0
images\5.png,0,0,0,0,0
images\6.png,0,0,0,0,0
images\7.png,0,0,0,0,0
images\8.png,0,0,0,0,0
images\9.png,0,0,0,0,0
images\10.png,0,0,0,0,0
images\11.png,0,0,0,0,0
images\12.png,0,0,0,0,0
images\13.png,0,0,0,0,0
images\14.png,0,0,0,0,0
images\15.png,0,0,0,0,0
images\16.png,0,0,0,0,0
images\17.png,0,0,0,0,0
images\18.png,0,0,0,0,0
images\19.png,0,0,0,0,0
images\20.png,0,0,0,0,0
images\21.png,0,0,0,0,0
images\22.png,0,0,0,0,0
images\23.png,0,0,0,0,0
images\24.png,0,0,0,0,0
images\25.png,0,0,0,0,0
images\26.png,0,0,0,0,0
images\27.png,0,0,0,0,0
images\28.png,0,0,0,0,0
images\29.png,0,0,0,0,0
images\30.png,0,0,0,0,0
images\31.png,0,0,0,0,0
images\32.png,0,0,0,0,0
images\33.png,0,0,0,0,0
images\34.png,0,0,0,0,0
images\35.png,0,0,0,0,0
images\36.png,0,0,0,0,0
images\37.png,0,0,0,0,0
images\38.png,0,0,0,0,0
images\39.png,0,0,0,0,0
images\40.png,0,0,0,0,0
images\41.png,0,0,0,0,0
images\42.png,0,0,0,0,0
images\43.png,0,0,0,0,0
images\44.png,0,0,0,0,0
images\45.png,0,0,0,0,0
images\46.png,0,0,0,0,0
images\47.png,0,0,0,0,0
images\48.png,0,0,0,0,0
images\49.png,0,0,0,0,0
images\50.png,0,0,0,0,0
images\51.png,0,0,0,0,0
images\52.png,0,0,0,0,0
images\53.png,0,0,0,0,0
images\54.png,0,0,0,0,0
images\55.png,0,0,0,0,0
images\56.png,0,0,0,0,0
images\57.png,0,0,0,0,0
images\58.png,0,0,0,0,0
images\59.png,0,0,0,0,0
images\60.png,0,0,0,0,0
images\61.png,0,0,0,0,0
images\62.png,0,0,0,0,0
images\63.png,0,0,0,0,0
images\64.png,0,0,0,0,0
images\65.png,0,0,0,0,0
images\66.png,0,0,0,0,0
images\67.png,0,0,0,0,0
images\68.png,0,0,0,0,0
images\69.png,0,0,0,0,0
images\70.png,0,0,0,0,0
images\71.png,0,0,0,0,0
images\72.png,0,0,0,0,0
images\73.png,0,0,0,0,0
images\74.png,0,0,0,0,0
images\75.png,0,0,0,0,0
images\76.png,0,0,0,0,0
images\77.png,0,0,0,0,0
images\78.png,0,0,0,0,0
images\79.png,0,0,0,0,0
images\80.png,0,0,0,0,0
images\81.png,0,0,0,0,0
images\82.png,0,0,0,0,0
images\83.png,0,0,0,0,0
images\84.png,0,0,0,0,0
images\85.png,0,0,0,0,0
images\86.png,0,0,0,0,0
images\87.png,0,0,0,0,0
images\88.png,0,0,0,0,0
images\89.png,0,0,0,0,0
images\90.png,0,0,0,0,0
images\91.png,0,0,0,0,0
images\92.png,0,0,0,0,0
images\93.png,0,0,0,0,0
images\94.png,0,0,0,0,0
images\95.png,0,0,0,0,0
images\96.png,0,0,0,0,0
images\97.png,0,0,0,0,0
images\98.png,0,0,0,0,0
images\99.png,0,0,0,0,0
images\100.png,0,0,0,0,0
images\101.png,0,0,0,0,0
images\102.png,0,0,0,0,0
images\103.png,0,0,0,0,0
images\104.png,0,0,0,0,0
images\105.png,0,0,0,0,0
images\106.png,0,0,0,0,0
images\107.png,0,0,0,0,0
images\108.png,0,0,0,0,0
images\109.png,0,0,0,0,0
images\110.png,0,0,0,0,0
images\111.png,0,0,0,0,0
images\112.png,0,0,0,0,0
images\113.png,0,0,0,0,0
images\114.png,0,0,0,0,0
images\115.png,0,0,0,0,0
images\116.png,0,0,0,0,0
images\117.png,0,0,0,0,0
images\118.png,0,0,0,0,0
images\119.png,0,0,0,0,0
images\120.png,0,0,0,0,0
images\121.png,0,0,0,0,0
images\122.png,0,0,0,0,0
images\123.png,0,0,0,0,0
images\124.png,0,0,0,0,0
images\125.png,0,0,0,0,0
images\126.png,0,0,0,0,0
images\127.png,0,0,0,0,0
images\128.png,0,0,0,0,0
images\129.png,0,0,0,0,0
images\130.png,0,0,0,0,0
images\131.png,0,0,0,0,0
images\132.png,0,0,0,0,0
images\133.png,0,0,0,0,0
images\134.png,0,0,0,0,0
images\135.png,0,0,0,0,0
images\136.png,0,0,0,0,0
images\137.png,0,0,0,0,0
images\138.png,0,0,0,0,0
images\139.png,0,0,0,0,0
images\140.png,0,0,0,0,0
images\141.png,0,0,0,0,0
images\142.png,0,0,0,0,0
images\143.png,0,0,0,0,0
images\144.png,0,0,0,0,0
images\145.png,0,0,0,0,0
images\146.png,0,0,0,0,0
